명 칭,소 재 지,건물 연면적(㎡),소장 장서수(권),비고
달팽이어린이도서관,"대전광역시 서구 배재로172번길 28, (도마동)",179.56,"10,333",사립
도마2동새마을문고,대전광역시 서구 도솔로 72,73.08,"17,525",사립
도안리슈빌작은도서관,"대전광역시 서구 도안동로 123, (도안동, 도안리슈빌아파트)",118,"12,054",사립
도안아이파크작은도서관,"대전광역시 서구 도안동로 183, (도안동, 대전 도안 아이파크)",383.19,"12,000",사립
로뎀도서관,"대전광역시 서구 봉우로56번길 23-3, (관저동)",33,"1,376",사립
린풀하우스작은도서관,"대전광역시 서구 도안동로 77, (도안동, 도안18단지린풀하우스)",79.395,"3,000",사립
만년뜰작은도서관,"대전광역시 서구 만년로 17, (만년동)",381.84,"10,637",공립
메아리작은도서관,"대전광역시 서구 구봉로 92, (관저동)",97.8,"4,002",사립
명가의 풍경작은도서관,"대전광역시 서구 관저중로 33, (관저동, 관저예미지 명가의 풍경)",112.43,"4,036",사립
미래를여는도서관,"대전광역시 서구 제비네6길 46, (도마동)",165,"8,180",사립
반디의숲작은도서관,"대전광역시 서구 만년남로3번길 8-9, (만년동)",105.55,"6,094",사립
방주문고,"대전광역시 서구 복수남로36번길 21, (복수동)",34.69,"3,901",사립
백운꿈의도서관,"대전광역시 서구 계룡로562번길 3, (괴정동)",46.2,"2,486",사립
베르디움작은도서관,"대전광역시 서구 원도안로 100, (도안동, 도안 베르디움)",86.25,"6,160",사립
복된꿈이있는도서관,대전광역시 서구 도솔로 52,140.7,"8,500",사립
새누리도서관,"대전광역시 서구 오량2길 13, (복수동)",42.776,"2,610",사립
샘머리작은도서관,"대전광역시 서구 문예로 174, (둔산동, 샘머리아파트)",39,"5,900",사립
세꿈작은도서관,"대전광역시 서구 계룡로583번길 46, (탄방동)",139.35,"8,103",사립
솔로몬도서관,"대전광역시 서구 벌곡로1384번길 53, (가수원동)",54.41,"2,800",사립
솔로몬작은도서관,"대전광역시 서구 대신1길 48, (도마동)",159.525,"2,100",사립
수목토아파트작은도서관,"대전광역시 서구 도안동로 177, (도안동, 도안신도시 수목토아파트)",140,"10,297",사립
수밋들어린이도서관,대전광역시 서구 계백로1286번길 86(정림사회복지회관),77,"13,888",사립
썬샤인문고,"대전광역시 서구 신갈마로 51, (내동, 더리치빌아파트)",36,"1,723",사립
어반힐스책누리작은도서관,"대전광역시 서구 관저남로 80, (관저동, 관저어반힐스)",109.66,"4,500",사립
어울림 작은도서관,"대전광역시 서구 월평동로 83, (월평동, 다모아아파트)",59.4,"1,319",사립
지치울작은도서관,"대전광역시 서구 갈마로219번길 40, (괴정동)",127.5,"9,575",공립
큰마음어린이도서관,"대전광역시 서구 월평북로 11, (월평동, 주공아파트)",105,"12,356",사립
탄방길작은도서관,"대전광역시 서구 문정로 96, (탄방동)",235.56,"5,662",공립
평강작은도서관,대전광역시 서구 유등로 61(평강교회),66,"2,960",사립
한라비발디아파트작은도서관,대전 서구 도안동,59.54,"14,256",사립
한사랑작은도서관,"대전광역시 서구 도산로314번길 33, (가장동)",184.91,"2,149",사립
해뜰마을어린이도서관,"대전광역시 서구 구봉로131번길 38, (관저동)",114.5,"14,063",사립
행복한책방작은도서관,"대전광역시 서구 구봉산북로 290, (관저동)",67.23,"4,905",사립
LH천년사랑작은도서관,"대전광역시 서구 구봉산북로 212, (관저동, 관저5엘에이치천년나무1단지)",39.93,"2,855",사립
겨자씨도서관,"대전광역시 유성구 도안대로589번길 27, (봉명동)",45.19,"4,910",사립
골목길 북카페 작은도서관,"대전광역시 유성구 진잠로102번길 5, (원내동)",40,"2,213",사립
골목길 작은도서관 읽새,대전 유성구 지족동,44.26,"4,890",사립
공감작은도서관,"대전광역시 유성구 와룡로136번길 90, (봉산동)",122.04,"1,652",사립
그린문고(대덕테크노10단지),"대전광역시 유성구 배울2로 61, (관평동, 대덕테크노밸리10단지아파트)",33,"10,613",사립
꿈샘 작은도서관,대전광역시 유성구 봉산로 17,38.96,"6,335",사립
꿈에그린문고,"대전광역시 유성구 배울2로 6, (관평동, 대덕테크노밸리1단지아파트)",35.7,"6,492",사립
내안애레이크힐 작은도서관,"대전광역시 유성구 도안동로 446, (원신흥동, 양우내안애)",80,"2,098",사립
네이처뷰아파트 작은도서관,"대전광역시 유성구 지족로148번길 22, (지족동, 엘에이치 네이처뷰)",132,"4,629",사립
노은1동 작은도서관,대전 유성구 노은동,40.8,"3,871",공립
노은LH4단지아파트 작은도서관,"대전광역시 유성구 지족로148번길 40, (지족동, 노은4단지)",49.25,"2,765",사립
노은에코힐7단지 작은도서관,"대전광역시 유성구 지족로190번길 39, (지족동, LH노은에코힐)",118,"3,098",사립
노은한화꿈에그린2단지 작은도서관,"대전광역시 유성구 지족북로 60, (지족동, 한화꿈에그린 2블럭)",214.04,"6,081",사립
다독다독 작은도서관,"대전광역시 유성구 북유성대로 158, (죽동)",121,"2,172",사립
대덕테크노밸리 2단지 문고,대전  유성구 관평동,34.24,"5,133",사립
대덕테크노밸리3단지도서실(대덕테크노3단지문고),대전 유성구 관평동,128,"7,068",사립
대덕테크노밸리5단지 문고,"대전광역시 유성구 배울2로 42, (관평동, 대덕테크노밸리5단지아파트)",73,"6,319",사립
대덕테크노밸리6단지문고(운암네오미아 어린이문고),대전 유성구 관평동,100.18,"11,537",사립
대덕테크노밸리7단지도서관,대전 유성구 관평동,78.36,"5,348",사립
덕명도서관 마음터,대전 유성구 덕명동,86.83,"5,340",사립
도안마을 작은도서관,"대전광역시 유성구 계룡로88번길 46, (봉명동)",49.58,"1,038",사립
도안천년나무11단지아파트 작은도서관,"대전광역시 유성구 봉명로 16, (원신흥동, LH도안천년나무11단지)",107.41,"4,029",사립
도안휴먼시아10단지아파트 작은도서관,"대전광역시 유성구 원신흥로 37, (원신흥동, 도안휴먼시아10단지)",36,"2,106",사립
도안휴먼시아4단지아파트 작은도서관,"대전광역시 유성구 상대로 40, (상대동, 도안휴먼시아4단지)",63.3,"1,417",사립
드림월드문고,"대전광역시 유성구 문화원로 13, (장대동, 드림월드아파트)",34,"3,227",사립
뜰안문고(테크노4단지),대전 유성구 관평동,108,"9,814",사립
마라나타도서관,"대전광역시 유성구 관들3길 77-30, (관평동)",132,"2,200",사립
모퉁이어린이도서관,대전광역시 유성구 엑스포로 438,201.6,"24,608",사립
문지작은도서관,"대전광역시 유성구 유성대로1707번길 13, (전민동)",118.37,"1,532",사립
문지효성해링턴플레이스아파트 작은도서관,"대전광역시 유성구 문지로 300, (문지동, 효성해링턴플레이스)",227.58,"3,000",사립
문학마을도서관,"대전광역시 유성구 어은로 22, (봉명동)",263,"9,581",공립
